,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Lahan Items:,,,,Does complete mutual understanding exist?,,
,Delicious Wedding Gift,,,,,,
,Mischevious Wedding Gift,,,,,,
,Sweet Wedding Gift,,,Mech Fight:,,,
,Lame Wedding Gift,,,,X silhouette,Hatsune miku dance to dodge and miku miku beam to attack,Success
,,,,,"Side faces forward, left arm defending while right arm is at the ready behind",Try to bait an attack and grab the whip,Nothing happens as both mechs wait for the other to attack
,Pigments: ,,,,Enemy pilot accuses ,Embrace the other mech and self-destruct,Failure
,Gormenghast Moss,Lahan,,,,,
,Corrupted Vermillion,Dazil,,,,,
,Nattier,Bledavik,,,,,
,Ancient Argent,sand cave,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Dazil Items:,,,,,,
,Nomad's Garb,,,,,,
,Red Toolbox,,,,,,
,Water Bottle,,,,,,
,,,,,,,
,Shotgun,,,,,,
,Spare Tire,,,,,,
,,,,,,,
,Bledavik Items:,,,,,,
,Expensive Miniature Mech Model,,,,,,
,Cheap Beer,,,,,,
,Melee Weapon,,,,,,
,,,,,,,
,,,,,,,
,Scene: Countryside Railroad,Nattier,Gormenghast Moss,,,,
,Abstract Mess,Corrupted Vermillion,Ancient Argent,,,,
,,,,,,,
,???,Amaranth,???,,,,
,,,,,,,
,The Legend of Eternic,,,,,,